V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.461868e-07,1.01225,3.313723e-07,0.9904786,0.9572066294844287
2.0,3.708998e-07,2.069439,4.153271e-07,1.98748,1.1197824857279515
3.0,4.993401e-07,3.022997,3.461849e-07,3.006531,0.6932847972754441
4.0,3.461868e-07,4.058196,4.499106e-07,4.058002,1.29961800969881
5.0,4.84544e-07,5.034031,3.560729e-07,4.962834,0.7348618494914807
6.0,3.412832e-07,6.026163,4.499328e-07,6.019901,1.3183561335571161
7.0,4.449872e-07,7.022407,3.264429e-07,6.990211,0.7336006518839193
8.0,4.153446e-07,8.035841,4.301776e-07,8.112447,1.035712514379626
9.0,4.795643e-07,9.082025,4.153095e-07,8.993845,0.866014213318214
10.0,4.943875e-07,9.997516,4.449626e-07,10.00225,0.9000280144623398
11.0,4.2524e-07,11.03325,4.845104e-07,10.99475,1.1393810554040071
12.0,5.585895e-07,12.01314,4.400445e-07,12.04621,0.7877779657512359
13.0,6.030598e-07,13.07595,7.117677e-07,13.01118,1.1802605645410291
14.0,7.166834e-07,14.08409,6.375968e-07,14.02293,0.8896491812144666
15.0,5.388267e-07,14.98256,6.870668e-07,15.02734,1.275116470657449
16.0,5.586222e-07,16.04632,5.586368e-07,16.05773,1.0000261357318059
17.0,6.377289e-07,17.10548,5.684877e-07,17.09745,0.8914253376317116
18.0,5.832962e-07,17.9961,6.524549e-07,18.00155,1.1185653189580183
19.0,6.821404e-07,19.01653,5.487205e-07,18.98793,0.8044099132671221
20.0,6.376267e-07,19.97914,7.958389e-07,20.19019,1.2481266860374574
21.0,8.500569e-07,21.02579,6.820897e-07,21.04725,0.8024047566698183
22.0,6.672566e-07,22.01661,7.957727e-07,22.01922,1.192603714972621
23.0,7.314633e-07,22.99154,6.426095e-07,23.08673,0.8785259629567199
24.0,6.475584e-07,24.07885,7.216283e-07,24.1538,1.1143833513703165
25.0,6.623347e-07,25.04138,6.573771e-07,25.06238,0.9925149626012347
26.0,6.870202e-07,25.9943,6.426181e-07,26.05147,0.9353700225990444
27.0,6.821174e-07,27.00946,7.512478e-07,26.98094,1.1013467769624408
28.0,8.451465e-07,28.05045,8.006853e-07,28.14308,0.9473923160067514
29.0,7.413427e-07,29.01217,9.0446e-07,29.13596,1.2200295490870823
30.0,8.599127e-07,29.99362,7.512064e-07,29.97585,0.8735844929374807
31.0,7.809085e-07,31.06848,8.797646e-07,31.08159,1.1265911435206557
32.0,7.809085e-07,32.02204,6.721646e-07,31.94766,0.860746937701408
33.0,6.919271e-07,33.01034,7.264939e-07,32.95534,1.0499572859626396
34.0,7.265187e-07,34.0191,7.660568e-07,34.03107,1.054421310834807
35.0,8.401888e-07,35.12792,7.611432e-07,35.01322,0.9059192410086875
36.0,8.204686e-07,36.03989,8.797275e-07,36.04964,1.0722256768875738
37.0,1.013089e-06,37.03505,7.808653e-07,37.00546,0.7707766050169333
38.0,8.451228e-07,38.021,9.932658e-07,38.00224,1.1752916854213376
39.0,9.982907e-07,39.07387,9.144569e-07,39.20634,0.9160226575285135
40.0,8.105543e-07,40.06496,9.340226e-07,39.99254,1.1523257602852763
41.0,8.352778e-07,41.02528,8.253745e-07,41.06757,0.9881437050044907
42.0,8.302914e-07,42.07429,8.401653e-07,42.02492,1.011892089933727
43.0,8.302914e-07,43.03328,9.19294e-07,43.04861,1.107194413912995
44.0,9.48849e-07,44.00861,8.650708e-07,44.09642,0.9117054452289037
45.0,8.945857e-07,45.09175,9.785929e-07,45.05468,1.093906262977376
46.0,1.106982e-06,46.02176,9.440161e-07,46.09589,0.8527836044307857
47.0,9.685742e-07,47.08531,1.126751e-06,47.04657,1.1633089132458827
48.0,1.017928e-06,47.9875,9.63703e-07,48.11345,0.9467300241274433
49.0,9.142632e-07,49.01021,9.982409e-07,49.09194,1.0918528712519546
50.0,1.013053e-06,50.08321,1.027865e-06,49.99564,1.0146211501273872
51.0,9.783979e-07,51.0214,9.784954e-07,51.00526,1.0000996527077584
52.0,9.982693e-07,52.14489,9.339302e-07,52.0176,0.9355493552691643
53.0,1.131634e-06,53.08126,1.008157e-06,53.01714,0.8908860992158242
54.0,1.003131e-06,53.99282,1.161248e-06,54.00628,1.1576234808813606
55.0,1.205733e-06,55.0374,1.092098e-06,55.02562,0.9057544249016988
56.0,1.092043e-06,56.06323,1.136417e-06,55.94983,1.0406339310814685
57.0,1.166238e-06,57.13655,1.077379e-06,57.03664,0.9238071474261685
58.0,9.933436e-07,58.01429,1.13668e-06,58.07292,1.1442968978709882
59.0,1.087127e-06,59.10486,1.008085e-06,59.01722,0.9272927634029878
