V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.116033e-07,1.012234,3.31387e-07,0.9850927,1.0634900208052995
2.0,2.572577e-07,1.949355,3.461731e-07,2.003842,1.3456277499176896
3.0,3.11605e-07,2.995632,3.264196e-07,3.00101,1.0475428828163862
4.0,3.857002e-07,3.992713,3.412334e-07,3.987138,0.8847114935382455
5.0,5.09188e-07,4.984274,4.647618e-07,5.006505,0.9127508896517592
6.0,4.400364e-07,5.992371,4.647589e-07,6.025445,1.056182852145868
7.0,4.153796e-07,7.006782,4.548644e-07,7.038697,1.095057147727043
8.0,3.857047e-07,8.008596,4.252194e-07,8.003021,1.1024480645426409
9.0,3.659511e-07,9.016852,3.85707e-07,9.033057,1.0539850816133631
10.0,4.054646e-07,10.00833,4.05501e-07,10.11306,1.0000897735585301
11.0,5.58604e-07,11.04907,4.696844e-07,11.01093,0.8408181824691552
12.0,5.339007e-07,12.00253,5.63544e-07,12.03532,1.055522122372194
13.0,5.388511e-07,13.01632,5.882246e-07,13.0156,1.0916273530851102
14.0,5.339351e-07,14.02515,5.289675e-07,14.00247,0.9906962475401973
15.0,5.487169e-07,15.02106,5.38858e-07,15.01632,0.9820328114552331
16.0,5.141409e-07,16.00742,5.388546e-07,16.08966,1.0480679518007612
17.0,5.487205e-07,17.09173,4.795764e-07,16.99433,0.87399031018524
18.0,7.315184e-07,18.05675,6.672881e-07,18.02377,0.9121959201573056
19.0,7.265634e-07,19.1134,7.265584e-07,19.03152,0.9999931182880945
20.0,6.080078e-07,20.02352,5.783715e-07,20.00189,0.951256710851407
21.0,6.1296e-07,21.08111,5.882633e-07,21.03224,0.9597091164186897
22.0,6.030678e-07,22.00148,6.277763e-07,22.06722,1.0409713468369561
23.0,5.684803e-07,23.12359,5.931643e-07,23.01389,1.0434210297173006
24.0,6.277512e-07,23.98957,6.475193e-07,24.04989,1.0314903420335955
25.0,7.759363e-07,24.9754,7.117531e-07,25.00948,0.9172829006710989
26.0,5.535849e-07,25.89274,7.957286e-07,26.07182,1.4374102328296887
27.0,6.722009e-07,27.0023,6.673016e-07,27.00968,0.9927115539416863
