V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.610007e-07,1.001329,3.708848e-07,1.093975,1.0273797253024717
2.0,3.461751e-07,2.009306,4.252117e-07,2.003858,1.2283139370798188
3.0,3.066437e-07,2.90815,4.943906e-07,3.022925,1.6122640054238842
4.0,5.190842e-07,4.02547,4.993433e-07,4.003865,0.9619697536546093
5.0,5.042482e-07,5.00062,4.894536e-07,5.060876,0.9706600836651473
6.0,4.746422e-07,6.079985,5.09214e-07,6.047146,1.0728376027247473
7.0,5.635477e-07,7.022407,4.845104e-07,6.989768,0.8597504701021759
8.0,5.882516e-07,8.041417,4.943405e-07,8.013156,0.8403555553440059
9.0,4.647878e-07,8.990463,5.38858e-07,9.022373,1.1593634772685515
10.0,4.993084e-07,9.980694,5.042835e-07,10.0742,1.0099639821801514
11.0,5.091912e-07,11.01058,4.054525e-07,10.9778,0.7962676888367277
12.0,5.685026e-07,12.05214,4.252168e-07,12.07317,0.7479592881369407
13.0,4.647646e-07,13.00594,5.635404e-07,13.01056,1.2125286650489302
14.0,5.240242e-07,14.0405,5.783715e-07,14.01893,1.1037114316476224
15.0,5.536605e-07,15.02118,6.52468e-07,15.05956,1.1784622525898092
16.0,6.623168e-07,15.99589,6.771589e-07,16.12184,1.022409366635423
17.0,6.178756e-07,17.02621,5.833269e-07,17.00005,0.9440846992501402
18.0,6.771544e-07,18.04514,6.376309e-07,18.0232,0.9416329569740668
19.0,6.524549e-07,19.03137,5.832848e-07,19.05271,0.8939848562712918
20.0,6.277512e-07,20.01199,5.388163e-07,19.95671,0.8583277897358061
21.0,6.771955e-07,21.08162,6.870575e-07,21.02101,1.0145630028551578
22.0,6.376608e-07,22.10009,6.673241e-07,22.05192,1.046518932949932
23.0,6.870575e-07,23.09163,7.018443e-07,23.01952,1.0215219250208314
24.0,6.623748e-07,24.03507,7.265435e-07,24.07656,1.0968767229671177
25.0,6.721963e-07,25.02424,7.512272e-07,24.95866,1.1175711618763744
26.0,8.007019e-07,26.02402,8.896202e-07,26.04561,1.1110504421183465
27.0,7.759631e-07,27.01972,9.044281e-07,27.03147,1.1655555528349222
28.0,8.452056e-07,28.07446,9.29096e-07,28.03843,1.0992544299280556
29.0,8.99488e-07,29.05852,9.29096e-07,29.02467,1.0329165036109431
30.0,9.291025e-07,30.04385,8.549789e-07,30.03744,0.9202202125169182
31.0,9.884386e-07,31.05385,8.154547e-07,31.00162,0.8249927714275829
32.0,8.895326e-07,32.0361,8.501044e-07,32.06171,0.9556753737861884
33.0,8.599247e-07,33.03994,7.809247e-07,33.07447,0.9081314910479953
34.0,8.253859e-07,34.00625,7.759149e-07,34.02999,0.9400631874133057
35.0,8.452056e-07,35.03345,7.117677e-07,35.06364,0.8421237388867278
36.0,8.451819e-07,36.05136,7.611746e-07,36.05022,0.9006044734275545
37.0,8.055863e-07,37.09381,7.759739e-07,37.06803,0.9632411822296383
38.0,6.721691e-07,37.91386,8.896139e-07,38.0334,1.3234971676026166
39.0,7.957286e-07,39.05659,8.747812e-07,39.06811,1.0993461841135281
40.0,7.907338e-07,40.01243,8.797646e-07,40.0675,1.1125926323119109
41.0,8.995197e-07,41.05894,8.796347e-07,41.0361,0.9778937581911769
42.0,9.389958e-07,42.08652,8.747566e-07,42.01469,0.9315873404332585
43.0,9.587084e-07,43.02136,8.302509e-07,42.97641,0.8660098315608792
44.0,8.995133e-07,44.02844,8.748057e-07,44.12074,0.9725322571661809
45.0,9.686017e-07,45.04897,7.906737e-07,45.01567,0.8163042662427704
46.0,8.895827e-07,46.05808,8.500986e-07,46.13656,0.9556150316322475
47.0,7.807898e-07,47.00382,9.142826e-07,47.08248,1.1709714957854214
48.0,8.994373e-07,48.02906,1.008236e-06,48.12816,1.1209630732459062
49.0,9.636756e-07,49.07637,1.023006e-06,49.0355,1.0615667762056027
50.0,9.537957e-07,50.00812,1.09209e-06,50.08867,1.1449936291388187
51.0,9.934214e-07,51.06581,1.161197e-06,51.0888,1.1688866376343412
52.0,1.121762e-06,52.05185,1.176085e-06,52.02923,1.04842649332033
53.0,1.131552e-06,53.01168,1.255196e-06,53.06241,1.109269392833913
54.0,1.205829e-06,54.03407,1.146387e-06,54.04229,0.9507044531189747
55.0,1.309519e-06,55.14311,1.215586e-06,55.12871,0.9282690820064468
56.0,1.245225e-06,56.07134,1.190965e-06,56.08623,0.9564255455841314
57.0,1.195801e-06,57.02896,1.092232e-06,57.05479,0.9133894351986659
58.0,1.191103e-06,58.06616,1.067491e-06,58.07154,0.8962205619497221
59.0,1.186162e-06,59.05257,1.077271e-06,59.04088,0.9081988800855196
60.0,1.131617e-06,60.04937,1.03776e-06,60.02758,0.9170593937701538
61.0,1.11185e-06,61.0569,1.082219e-06,61.04649,0.9733498223681253
62.0,1.106902e-06,62.01538,1.195896e-06,62.06885,1.080399168128705
63.0,1.190965e-06,63.03927,1.210655e-06,63.06797,1.0165328116275456
64.0,1.151293e-06,64.00553,1.240222e-06,64.012,1.077242717535849
65.0,1.230423e-06,65.04093,1.240231e-06,65.05315,1.0079712424101306
66.0,1.299506e-06,66.08291,1.339121e-06,66.06635,1.0304846610942928
67.0,1.34907e-06,67.05631,1.274864e-06,67.12675,0.9449947000526289
68.0,1.33915e-06,68.16034,1.235291e-06,68.07159,0.9224440876675504
69.0,1.334152e-06,69.03979,1.230405e-06,69.05015,0.9222374961773471
70.0,1.324291e-06,70.09251,1.388551e-06,70.08929,1.04852407816711
71.0,1.329212e-06,71.05583,1.408291e-06,71.10167,1.0594931433059587
72.0,1.378712e-06,72.075,1.358821e-06,72.11118,0.985572766466093
73.0,1.378529e-06,73.0291,1.437899e-06,73.0779,1.04306764674519
74.0,1.413169e-06,74.05692,1.502229e-06,74.04819,1.0630214786766479
75.0,1.507025e-06,75.02133,1.596142e-06,75.04778,1.0591343872862096
76.0,1.591095e-06,76.09954,1.67005e-06,76.05717,1.0496230583340405
77.0,1.739311e-06,77.09731,1.729341e-06,77.03856,0.9942678451409783
78.0,1.763959e-06,78.04842,1.838114e-06,78.06179,1.0420389589553951
79.0,1.808338e-06,79.05271,1.739428e-06,79.0864,0.9618931858977692
80.0,1.833091e-06,80.05779,1.75387e-06,80.04892,0.9567828329308256
81.0,1.848008e-06,81.08666,1.734358e-06,81.05268,0.9385013484790109
82.0,1.803358e-06,81.99302,1.739181e-06,82.06035,0.9644125015665219
83.0,1.803358e-06,83.05547,1.774011e-06,83.0536,0.9837264702848796
84.0,1.749048e-06,83.98849,1.768807e-06,84.06477,1.0112970027123327
85.0,1.85292e-06,85.10129,1.813386e-06,85.06247,0.9786639466355805
86.0,1.803506e-06,85.93431,1.882505e-06,86.04668,1.043803014794517
87.0,1.981363e-06,87.10107,1.93173e-06,86.94294,0.9749500722482454
88.0,1.991213e-06,88.05326,2.031009e-06,88.08216,1.0199858076458923
89.0,2.055619e-06,89.11881,2.129373e-06,89.04881,1.0358792169171427
90.0,2.193887e-06,90.04782,2.188847e-06,90.02718,0.9977027075688036
91.0,2.193638e-06,91.14864,2.149067e-06,90.99104,0.9796816977094672
92.0,2.307322e-06,92.01788,2.238468e-06,92.05825,0.9701584780971185
93.0,2.272863e-06,92.97657,2.282623e-06,93.02046,1.004294143553747
94.0,2.381601e-06,94.04683,2.371523e-06,94.04954,0.9957683927744404
95.0,2.509782e-06,95.03349,2.38636e-06,95.00381,0.9508236173500327
96.0,2.465287e-06,96.01273,2.470245e-06,96.00259,1.0020111248710595
97.0,2.608517e-06,97.01449,2.598796e-06,97.02608,0.9962733614540369
98.0,2.682775e-06,98.04502,2.6978e-06,98.02009,1.0056005442126157
99.0,2.821029e-06,99.01256,2.845619e-06,99.02499,1.0087166774960483
100.0,2.929638e-06,100.0509,3.013797e-06,100.079,1.0287267573672925
101.0,3.082934e-06,101.01,3.122717e-06,101.0351,1.012904265871407
102.0,3.265889e-06,102.0673,3.285624e-06,102.0556,1.0060427650786663
103.0,3.404242e-06,103.0435,3.43362e-06,103.0571,1.0086298212641758
104.0,3.581872e-06,104.1213,3.488227e-06,104.0462,0.9738558496786038
105.0,3.62622e-06,105.0824,3.547128e-06,104.999,0.9781888578188858
106.0,3.695463e-06,106.0221,3.666049e-06,106.0288,0.9920405102148229
107.0,3.858779e-06,107.0877,3.730042e-06,107.0301,0.9666378924525089
108.0,0.0001340432,107.9777,0.0001148652,108.0184,0.8569267221313727
109.0,0.0002500217,108.2007,0.0002500158,108.3869,0.9999764020483024
110.0,0.0002500167,108.2042,0.0002500562,108.3058,1.0001579894463049
111.0,0.0002500573,108.3025,0.0002500207,108.2059,0.9998536335471911
112.0,0.0002500276,108.2068,0.0002500425,108.2698,1.0000595934208865
113.0,0.000249995,108.1512,0.0002499851,108.3789,0.9999603992079843
114.0,0.0002499881,108.1176,0.0002500631,108.1541,1.0003000142806797
115.0,0.0002500108,108.1689,0.0002501254,108.3556,1.0004583801979754
116.0,0.000249996,108.1265,0.0002500069,108.1684,1.000043600697611
117.0,0.0002500977,108.2771,0.0002499674,108.2902,0.9994790036053911
118.0,0.0002499594,108.1693,0.0002500641,108.4182,1.0004188680241672
119.0,0.0002497352,108.4397,0.0002500879,108.2311,1.0014122959038212
120.0,0.0002499842,108.3794,0.000249991,108.1678,1.0000272017191487
121.0,0.000249992,108.3144,0.0002500059,108.2561,1.000055601779257
122.0,0.0002500513,108.189,0.000249994,108.1899,0.9997708470221912
123.0,0.0002500444,108.1991,0.0002500543,108.21,1.0000395929682886
124.0,0.0002500563,108.3198,0.0002500632,108.2027,1.0000275937858794
125.0,0.0002500711,108.1855,0.0002503774,108.1898,1.00122485165219
