V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.355254e-07,1.009874,3.350302e-07,1.00769,0.9985241057755986
2.0,3.63212e-07,2.011703,3.582681e-07,2.00898,0.9863883902514234
3.0,4.002955e-07,3.025003,3.711239e-07,3.009188,0.9271248365270157
4.0,4.062289e-07,4.00994,4.042505e-07,4.008839,0.9951298393590412
5.0,4.161178e-07,5.006876,4.31445e-07,5.007417,1.0368338004286286
6.0,4.225439e-07,6.019595,4.284797e-07,6.016371,1.0140477711309996
7.0,4.502321e-07,7.016523,4.497391e-07,7.01546,0.9989050092163575
8.0,4.690202e-07,8.01399,4.536937e-07,8.017281,0.9673223029626443
9.0,4.680331e-07,9.010415,4.764388e-07,9.012058,1.0179596272144
10.0,4.754496e-07,10.00953,4.947331e-07,10.01227,1.0405584524626794
11.0,4.907768e-07,11.02281,4.957198e-07,11.02169,1.0100717882344885
12.0,5.189591e-07,12.02355,5.016545e-07,12.02084,0.9666551757161596
13.0,6.079565e-07,13.01665,5.664261e-07,13.02052,0.9316885336368639
14.0,6.035062e-07,14.01739,6.692688e-07,14.01583,1.1089675632164178
15.0,6.742113e-07,15.01217,6.425663e-07,15.01432,0.9530636760315351
16.0,5.995528e-07,16.01895,6.163619e-07,16.0129,1.0280360628788656
17.0,7.355205e-07,17.02565,7.088275e-07,17.0291,0.963708693367486
18.0,6.460278e-07,18.02639,6.218027e-07,18.02919,0.9625014589155451
19.0,6.944826e-07,19.01951,7.49858e-07,19.02658,1.0797361949745035
20.0,7.043727e-07,20.01704,6.751998e-07,20.01917,0.9585831478136505
21.0,6.658109e-07,21.01739,7.068444e-07,21.02268,1.0616293605286427
22.0,7.938668e-07,22.02786,7.404669e-07,22.03873,0.9327344335346938
23.0,6.890457e-07,23.04058,6.707417e-07,23.02381,0.9734357242197433
24.0,7.780498e-07,24.03172,8.195757e-07,24.02986,1.0533717764595532
25.0,7.355216e-07,25.02513,7.147523e-07,25.01956,0.9717624880085098
26.0,7.414552e-07,26.02263,7.834805e-07,26.01766,1.0566794865016793
