V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.318265e-07,1.00937,3.439412e-07,1.011009,1.0365091395654056
2.0,3.627302e-07,2.012346,3.59516e-07,2.013162,0.9911388685033669
3.0,3.889348e-07,3.007941,3.970949e-07,3.00714,1.0209806373716108
4.0,3.983316e-07,4.010396,3.985791e-07,4.008217,1.0006213416158798
5.0,4.28246e-07,5.003279,4.144004e-07,5.004903,0.9676690500319909
6.0,4.304705e-07,6.019061,4.457988e-07,6.017158,1.0356082472550385
7.0,4.450575e-07,7.015775,4.393709e-07,7.014951,0.9872227745853064
8.0,4.655773e-07,8.013024,4.660722e-07,8.015488,1.0010629813781728
9.0,4.574188e-07,9.007274,4.707679e-07,9.012426,1.029183540335465
10.0,4.92525e-07,10.00915,4.799155e-07,10.00586,0.9743982538957412
11.0,4.954933e-07,11.02145,5.03898e-07,11.02169,1.0169622878856284
12.0,5.043898e-07,12.01695,5.004377e-07,12.02251,0.9921645917502692
13.0,6.789347e-07,13.02081,5.852334e-07,13.01694,0.8619877581746815
14.0,6.445691e-07,14.01476,6.062489e-07,14.01503,0.9405491203348099
15.0,6.121832e-07,15.0134,6.769573e-07,15.01368,1.1058083593277308
16.0,6.230576e-07,16.00617,7.125552e-07,16.00758,1.1436425781500779
17.0,6.925314e-07,17.02587,6.517398e-07,17.02617,0.9410978332534813
18.0,7.4346e-07,18.02557,6.359172e-07,18.02478,0.8553482366233556
19.0,6.819e-07,19.02089,6.868438e-07,19.01814,1.0072500366622672
20.0,6.589116e-07,20.02291,7.491465e-07,20.02143,1.136945380837126
21.0,7.011873e-07,21.01687,7.555739e-07,21.01375,1.0775635839382716
22.0,7.667007e-07,22.03151,6.903061e-07,22.0331,0.9003592927461785
23.0,7.877137e-07,23.03035,6.964864e-07,23.02951,0.8841872370634153
24.0,7.175002e-07,24.02674,7.674377e-07,24.02338,1.0695992837353914
25.0,7.147829e-07,25.02107,8.065047e-07,25.02217,1.1283212007450094
26.0,7.83263e-07,26.01961,7.931557e-07,26.02275,1.0126301127462933
27.0,8.312254e-07,27.01878,7.335722e-07,27.01311,0.8825189894341535
28.0,8.215847e-07,28.03216,7.657134e-07,28.03307,0.9319956907668803
29.0,7.602717e-07,29.02993,8.495214e-07,29.03132,1.1173918482037408
30.0,7.840059e-07,30.03101,8.564444e-07,30.02723,1.0923953505962136
31.0,8.678162e-07,31.02554,8.238106e-07,31.0253,0.9492915665782685
32.0,8.858632e-07,32.02412,7.911751e-07,32.02713,0.8931120516124837
33.0,8.524836e-07,33.03402,8.435879e-07,33.03858,0.9895649605458686
34.0,8.168882e-07,34.03478,9.288831e-07,34.03808,1.1370994219282393
35.0,8.59412e-07,35.03124,8.967412e-07,35.0306,1.0434357444392213
36.0,9.429727e-07,36.02811,8.608918e-07,36.02641,0.9129551682673316
37.0,9.286338e-07,37.03165,8.603988e-07,37.02755,0.9265210893680588
38.0,8.940224e-07,38.02646,9.318458e-07,38.02308,1.042306993650271
39.0,8.836379e-07,39.03893,9.911824e-07,39.04033,1.1217065270740425
40.0,9.429677e-07,40.03241,9.333286e-07,40.03663,0.9897779107386182
41.0,1.018379e-06,41.03569,9.103377e-07,41.03339,0.8939085546736529
42.0,9.694285e-07,42.03299,9.449495e-07,42.03309,0.9747490402850751
43.0,9.38522e-07,43.02545,1.018132e-06,43.02802,1.084824862922766
44.0,9.654708e-07,44.04484,1.046065e-06,44.04231,1.0834765795091885
45.0,1.035929e-06,45.03902,9.785724e-07,45.03874,0.9446326920088153
46.0,1.079443e-06,46.03826,9.721435e-07,46.0392,0.9005973451122478
47.0,1.015412e-06,47.03772,1.039639e-06,47.03712,1.023859280764852
48.0,1.003791e-06,48.03463,1.095511e-06,48.03486,1.0913736026722693
49.0,1.060404e-06,49.02878,1.097492e-06,49.03415,1.0349753490179217
50.0,1.119243e-06,50.04698,1.037165e-06,50.04811,0.9266665058436819
51.0,1.138277e-06,51.04549,1.055952e-06,51.0428,0.9276757766343343
52.0,1.078199e-06,52.04068,1.140749e-06,52.04216,1.0580134093984506
53.0,1.089821e-06,53.03859,1.178327e-06,53.04018,1.0812115017053257
54.0,1.168187e-06,54.03725,1.1583e-06,54.03571,0.991536457776024
55.0,1.211948e-06,55.05178,1.113304e-06,55.05147,0.9186070689501529
56.0,1.199833e-06,56.04814,1.156569e-06,56.05116,0.9639416485460894
57.0,1.151626e-06,57.0466,1.251999e-06,57.04681,1.0871576362464899
58.0,1.191674e-06,58.04341,1.254723e-06,58.04564,1.0529079261610137
59.0,1.285129e-06,59.04084,1.229007e-06,59.04131,0.9563296758535524
60.0,1.296499e-06,60.03853,1.207498e-06,60.04155,0.9313528201718629
61.0,1.270534e-06,61.05234,1.273999e-06,61.0531,1.0027271997443594
62.0,1.25027e-06,62.05141,1.36226e-06,62.05123,1.0895726523071017
63.0,1.317757e-06,63.04535,1.339517e-06,63.04964,1.0165129079185313
64.0,1.405526e-06,64.04688,1.312568e-06,64.04574,0.9338624828000335
65.0,1.381543e-06,65.04266,1.327155e-06,65.04243,0.9606324233121951
66.0,1.363497e-06,66.05878,1.411212e-06,66.06042,1.0349945764457127
67.0,1.372888e-06,67.05473,1.477717e-06,67.05744,1.0763565563979
68.0,1.458927e-06,68.05275,1.431237e-06,68.05299,0.9810202977942007
69.0,1.532846e-06,69.04993,1.423574e-06,69.05054,0.9287129953041597
70.0,1.485871e-06,70.04707,1.475243e-06,70.04966,0.9928472929345817
71.0,1.477716e-06,71.04499,1.559551e-06,71.04407,1.0553793827772047
72.0,1.53334e-06,72.05881,1.601584e-06,72.06172,1.0445067630140739
73.0,1.616654e-06,73.05271,1.552873e-06,73.05671,0.9605475259393786
74.0,1.664864e-06,74.05193,1.567457e-06,74.05274,0.9414925183078017
75.0,1.617888e-06,75.04626,1.655716e-06,75.04859,1.0233810993097172
76.0,1.632725e-06,76.04368,1.726916e-06,76.04743,1.057689445558805
77.0,1.71975e-06,77.05679,1.747441e-06,77.05988,1.0161017589765955
78.0,1.799601e-06,78.05776,1.70961e-06,78.0536,0.9499939153178955
79.0,1.825804e-06,79.04915,1.752137e-06,79.05267,0.959652295646192
80.0,1.790453e-06,80.04508,1.866599e-06,80.05029,1.0425289019035964
