V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.315699e-07,1.012056,3.360183e-07,1.00605,1.0134161755937436
2.0,3.810122e-07,2.018253,3.60246e-07,2.018798,0.9454972832890916
3.0,3.884282e-07,3.009723,3.770578e-07,3.010831,0.9707271511182761
4.0,4.042534e-07,4.009968,4.077127e-07,4.012673,1.0085572564139225
5.0,4.077113e-07,5.006855,4.319392e-07,5.004141,1.0594241562595885
6.0,4.329283e-07,6.021255,4.339167e-07,6.024518,1.0022830570327697
7.0,4.541878e-07,7.012711,4.388621e-07,7.016016,0.9662569095867393
8.0,4.734721e-07,8.017306,4.502346e-07,8.013508,0.950921078559856
9.0,4.611076e-07,9.003239,4.754493e-07,9.014225,1.0311027187580513
10.0,4.744601e-07,10.00842,4.942365e-07,10.00949,1.041681903283332
11.0,4.917659e-07,11.02337,4.957214e-07,11.02282,1.0080434613298728
12.0,5.243969e-07,12.02189,5.041261e-07,12.02792,0.9613445464685241
13.0,5.703805e-07,13.02213,5.619754e-07,13.02268,0.9852640474209761
14.0,6.539418e-07,14.01802,6.578946e-07,14.01305,1.006044574608933
15.0,6.262492e-07,15.00775,6.50973e-07,15.0149,1.0394791721889625
16.0,6.15865e-07,16.00791,6.05976e-07,16.00953,0.9839429095662199
17.0,7.261278e-07,17.03333,7.117887e-07,17.0295,0.9802526497401698
18.0,6.227912e-07,18.02699,6.148778e-07,18.02472,0.987293654759412
19.0,7.389821e-07,19.02553,7.459057e-07,19.02557,1.0093691037983192
20.0,6.662995e-07,20.02188,6.929989e-07,20.02352,1.040071169196435
21.0,6.979432e-07,21.01663,6.880601e-07,21.02174,0.9858396786443366
22.0,7.701303e-07,22.03538,7.434238e-07,22.02477,0.9653221019871573
23.0,6.761891e-07,23.03398,6.796492e-07,23.03067,1.005117059710072
24.0,7.899031e-07,24.01872,8.126536e-07,24.02658,1.0288016340232113
25.0,7.117873e-07,25.0218,7.197002e-07,25.02242,1.011116944626576
26.0,7.844688e-07,26.01819,7.726072e-07,26.02219,0.9848794496352181
27.0,7.93863e-07,27.01893,7.760623e-07,27.0178,0.9775771134314107
28.0,7.488748e-07,28.03244,7.434319e-07,28.03554,0.9927318959056975
29.0,8.507221e-07,29.03022,8.704957e-07,29.02899,1.0232433129455554
30.0,7.523297e-07,30.03422,7.641955e-07,30.02383,1.0157720743977008
31.0,8.734666e-07,31.02356,8.536941e-07,31.03466,0.9773631870983962
32.0,8.284738e-07,32.01942,8.245195e-07,32.02493,0.995227006575223
33.0,8.205652e-07,33.04809,8.220456e-07,33.03868,1.0018041223293408
34.0,8.887927e-07,34.03283,9.189511e-07,34.03603,1.0339318718526829
35.0,8.136403e-07,35.03363,8.131453e-07,35.03742,0.9993916230550527
36.0,9.540604e-07,36.02735,9.313151e-07,36.03111,0.9761594758570841
37.0,8.64568e-07,37.02646,8.536917e-07,37.02816,0.9874199600262791
38.0,9.0264e-07,38.02451,8.942233e-07,38.01797,0.9906754630860587
39.0,9.293361e-07,39.03547,9.57023e-07,39.04086,1.0297921279502646
40.0,8.823701e-07,40.03811,8.789053e-07,40.03955,0.9960733030278338
41.0,1.016851e-06,41.03481,1.000038e-06,41.03417,0.983465620823503
42.0,9.15494e-07,42.0329,9.070912e-07,42.03903,0.9908215673723695
43.0,9.906443e-07,43.02257,9.985594e-07,43.02987,1.0079898506456857
44.0,9.733433e-07,44.04752,1.003019e-06,44.04633,1.0304884206836376
45.0,9.669177e-07,45.04292,9.575261e-07,45.05288,0.9902870740705232
46.0,1.077669e-06,46.04356,1.059875e-06,46.0384,0.9834884366164378
47.0,9.728529e-07,47.03417,9.679031e-07,47.03824,0.9949120776635397
48.0,1.088547e-06,48.03746,1.090029e-06,48.03633,1.0013614478750115
49.0,1.023776e-06,49.03221,1.051964e-06,49.03303,1.02753336667396
50.0,1.054426e-06,50.04577,1.038108e-06,50.04951,0.9845242814573996
51.0,1.130567e-06,51.04429,1.123644e-06,51.0453,0.9938765239034928
52.0,1.047997e-06,52.04286,1.04404e-06,52.0411,0.9962242258327074
53.0,1.181984e-06,53.03579,1.19237e-06,53.04792,1.0087869209735496
54.0,1.089032e-06,54.03544,1.109308e-06,54.04225,1.018618369340846
55.0,1.175066e-06,55.05108,1.157263e-06,55.05254,0.9848493616528773
56.0,1.195829e-06,56.05551,1.181985e-06,56.04842,0.988423093937344
57.0,1.144406e-06,57.04412,1.145401e-06,57.0548,1.0008694466823835
58.0,1.263072e-06,58.045,1.279882e-06,58.04554,1.0133088216665398
