V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.543136e-07,1.018054,3.424466e-07,1.009871,0.9665070717014532
2.0,3.701347e-07,2.008436,3.790347e-07,2.016618,1.0240453002650116
3.0,3.864514e-07,3.011915,3.800231e-07,3.009181,0.9833658255604715
4.0,3.93372e-07,4.004464,4.032659e-07,4.013805,1.0251515105294733
5.0,4.205685e-07,5.009614,4.185913e-07,5.005259,0.9952987444375886
6.0,4.457839e-07,6.020169,4.39849e-07,6.016868,0.9866865985963152
7.0,4.522084e-07,7.014859,4.55672e-07,7.013273,1.0076593004464314
8.0,4.522126e-07,8.012969,4.601222e-07,8.018936,1.0174908881353593
9.0,4.655598e-07,9.014203,4.690222e-07,9.008786,1.0074370682348432
10.0,4.848438e-07,10.00735,4.912693e-07,10.01056,1.0132527218044245
11.0,5.100603e-07,11.0261,5.056078e-07,11.02003,0.9912706399615889
12.0,5.090698e-07,12.01972,5.189597e-07,12.01975,1.0194273948287642
13.0,6.771793e-07,13.02161,6.133965e-07,13.02378,0.9058110606747726
14.0,5.881789e-07,14.01412,6.5394e-07,14.01853,1.1118045887059191
15.0,6.5641e-07,15.01103,5.941116e-07,15.01485,0.9050922441766578
16.0,6.801436e-07,16.00853,7.36018e-07,16.01299,1.0821508869597538
17.0,6.198237e-07,17.0273,6.297153e-07,17.02467,1.0159587314909062
18.0,7.340382e-07,18.02589,6.984376e-07,18.02584,0.9515003442600126
19.0,6.306949e-07,19.01767,6.880559e-07,19.02554,1.0909488882817984
20.0,7.483742e-07,20.01967,6.598728e-07,20.01373,0.8817417810501752
21.0,7.073369e-07,21.01661,7.85963e-07,21.02351,1.1111579220594883
22.0,6.949766e-07,22.03538,6.722354e-07,22.03439,0.9672777471932148
23.0,7.740867e-07,23.03125,7.819955e-07,23.02682,1.0102169433992343
24.0,6.900308e-07,24.02918,7.157422e-07,24.02758,1.037261235295584
25.0,8.294638e-07,25.02786,7.523317e-07,25.02457,0.9070096850519576
26.0,7.399709e-07,26.02095,8.19574e-07,26.02202,1.1075759871097632
27.0,7.82001e-07,27.02347,7.310726e-07,27.02067,0.9348742520789616
28.0,8.037595e-07,28.03635,8.531955e-07,28.03334,1.0615059604272175
29.0,7.557969e-07,29.02884,7.478747e-07,29.02342,0.9895180834957116
30.0,8.927501e-07,30.03701,8.358938e-07,30.02461,0.936313308729957
31.0,7.795223e-07,31.02019,8.492376e-07,31.02566,1.089433361944873
32.0,8.724783e-07,32.02269,7.918881e-07,32.02497,0.9076307112738506
33.0,8.35892e-07,33.04479,9.07583e-07,33.03926,1.0857658644896708
34.0,8.388581e-07,34.0346,8.05231e-07,34.03324,0.9599132439681992
35.0,9.322994e-07,35.02744,9.278593e-07,35.02949,0.9952374741418905
36.0,8.358909e-07,36.03771,8.84836e-07,36.02772,1.0585544118257537
37.0,9.5455e-07,37.0328,8.784133e-07,37.03415,0.9202381226756062
38.0,8.709987e-07,38.02736,9.505973e-07,38.02494,1.0913877368588494
39.0,9.367572e-07,39.03951,8.630817e-07,39.03435,0.9213504844158124
40.0,9.738377e-07,40.03634,1.007459e-06,40.04453,1.0345245414097235
41.0,9.05604e-07,41.0359,9.238973e-07,41.03369,1.0202001095401523
42.0,1.020813e-06,42.03637,9.62465e-07,42.0329,0.9428416370089331
43.0,9.194468e-07,43.02805,9.92629e-07,43.02836,1.0795937296208982
44.0,1.032675e-06,44.04642,9.382331e-07,44.04124,0.9085463480765972
45.0,1.010426e-06,45.0434,1.087558e-06,45.04285,1.0763361196168746
46.0,9.852153e-07,46.03949,9.758169e-07,46.04036,0.9904605622750682
47.0,1.072725e-06,47.03726,1.059375e-06,47.03944,0.987555058379361
48.0,9.876804e-07,48.03516,1.035639e-06,48.03618,1.0485568003576866
49.0,1.129091e-06,49.04534,1.02575e-06,49.03093,0.9084741619586021
50.0,1.056907e-06,50.04898,1.138976e-06,50.04698,1.0776501622186248
51.0,1.088049e-06,51.04937,1.041073e-06,51.04472,0.95682547385274
52.0,1.127107e-06,52.04126,1.165673e-06,52.0473,1.034216804615711
53.0,1.076675e-06,53.03983,1.090521e-06,53.03827,1.012859962384192
54.0,1.219068e-06,54.03549,1.141933e-06,54.03477,0.9367262531704548
55.0,1.121166e-06,55.05287,1.205228e-06,55.05553,1.0749773004176009
56.0,1.20275e-06,56.05324,1.126116e-06,56.04956,0.9362843483683225
57.0,1.189398e-06,57.04571,1.258622e-06,57.04971,1.058200871365178
58.0,1.178027e-06,58.04536,1.168144e-06,58.04404,0.9916105488244327
59.0,1.304113e-06,59.05138,1.264055e-06,59.03946,0.9692833366433736
60.0,1.204232e-06,60.03979,1.263565e-06,60.03825,1.0492704063668794
61.0,1.320917e-06,61.05362,1.236866e-06,61.05807,0.9363692041210766
62.0,1.270489e-06,62.054,1.339689e-06,62.03934,1.0544672169534721
63.0,1.302625e-06,63.04974,1.259128e-06,63.05208,0.9666081949908838
64.0,1.390633e-06,64.04721,1.399037e-06,64.04547,1.0060432910767976
65.0,1.305101e-06,65.04161,1.350095e-06,65.04439,1.034475492701331
