V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.501214e-07,1.011552,3.471549e-07,1.011553,0.991527224556968
2.0,3.629771e-07,2.011798,3.612459e-07,2.007976,0.9952305531120282
3.0,3.86465e-07,3.009059,3.849809e-07,3.008232,0.9961598074858007
4.0,4.092086e-07,4.010381,4.198394e-07,4.007111,1.0259789261516008
5.0,4.124227e-07,5.004632,4.12176e-07,5.004913,0.9994018273000008
6.0,4.388741e-07,6.012751,4.331904e-07,6.016342,0.9870493610810025
7.0,4.430794e-07,7.014133,4.495071e-07,7.016039,1.0145068807080628
8.0,4.586541e-07,8.013277,4.554406e-07,8.015196,0.9929936307121205
9.0,4.811516e-07,9.00943,4.858497e-07,9.009994,1.009764282192972
10.0,4.724981e-07,10.00639,4.75962e-07,10.00919,1.0073310347702984
11.0,5.031558e-07,11.02386,4.999388e-07,11.01859,0.9936063541352401
12.0,5.108194e-07,12.02,5.160117e-07,12.01756,1.0101646491891263
13.0,6.289934e-07,13.01805,6.626163e-07,13.01941,1.0534550918976255
14.0,6.974751e-07,14.01665,6.67563e-07,14.01726,0.9571137378237589
15.0,6.462989e-07,15.0128,6.015496e-07,15.00595,0.9307606743567102
16.0,6.205887e-07,16.00982,6.173729e-07,16.00867,0.9948181460603455
17.0,6.37397e-07,17.02169,7.011849e-07,17.02725,1.1000756200609667
18.0,7.100867e-07,18.02591,7.291223e-07,18.02588,1.0268074306982513
19.0,7.508771e-07,19.022,7.041504e-07,19.02225,0.9377705086491518
20.0,6.836308e-07,20.01814,6.529748e-07,20.0187,0.9551570818634854
21.0,6.687978e-07,21.01732,6.974791e-07,21.01743,1.0428848599681397
22.0,7.256594e-07,22.03009,7.802974e-07,22.02875,1.0752942771774197
23.0,7.815316e-07,23.02976,7.676875e-07,23.02896,0.9822859369985808
24.0,7.904384e-07,24.02805,7.340654e-07,24.03059,0.9286813494890936
25.0,7.231886e-07,25.02325,7.167587e-07,25.02263,0.9911089582993979
26.0,7.320888e-07,26.02132,7.760951e-07,26.01913,1.060110604068796
27.0,8.057665e-07,27.01681,8.472954e-07,27.01824,1.0515396209695984
28.0,8.435864e-07,28.03374,8.072454e-07,28.03407,0.9569208322941195
29.0,8.233147e-07,29.0302,7.709028e-07,29.02912,0.9363403811446583
30.0,7.72635e-07,30.02781,7.859834e-07,30.025,1.0172764630129363
31.0,7.998275e-07,31.02386,8.559493e-07,31.0239,1.0701673798412783
32.0,8.898192e-07,32.02414,9.036626e-07,32.02245,1.0155575424760446
33.0,8.950119e-07,33.03888,8.40872e-07,33.03792,0.9395092959099204
34.0,8.571845e-07,34.0317,8.25789e-07,34.03562,0.9633736960945981
35.0,8.275176e-07,35.03196,8.680638e-07,35.03173,1.0489973868833726
36.0,8.814109e-07,36.02583,9.311042e-07,36.02777,1.0563792664692484
37.0,9.622576e-07,37.02732,9.46186e-07,37.0267,0.9832980274720615
38.0,9.274016e-07,38.02881,8.814134e-07,38.02644,0.950411774144017
39.0,8.969935e-07,39.04165,8.836372e-07,39.03727,0.9851099255457259
40.0,9.011926e-07,40.03599,9.583016e-07,40.03677,1.0633704715285057
41.0,9.714032e-07,41.03614,1.000823e-06,41.03585,1.0302858792311986
42.0,1.029502e-06,42.03504,9.887092e-07,42.03502,0.960376181882114
43.0,9.711561e-07,43.02845,9.328377e-07,43.02773,0.9605435212732536
44.0,9.506378e-07,44.04105,9.59785e-07,44.04458,1.009622171556822
45.0,9.852469e-07,45.04007,1.045075e-06,45.04032,1.0607239667539172
46.0,1.058182e-06,46.03939,1.057433e-06,46.03382,0.9992921822522024
47.0,1.087105e-06,47.03569,1.033953e-06,47.03712,0.951106838805819
48.0,1.021594e-06,48.0348,9.985989e-07,48.03326,0.9774909602053263
49.0,1.019614e-06,49.03299,1.048789e-06,49.03149,1.0286137695245456
50.0,1.085373e-06,50.04673,1.133583e-06,50.04675,1.044417909787695
51.0,1.146684e-06,51.0466,1.12146e-06,51.04221,0.9780026580993543
52.0,1.147423e-06,52.04238,1.094764e-06,52.04045,0.9541067243727901
53.0,1.08735e-06,53.03951,1.087346e-06,53.03683,0.9999963213316778
54.0,1.111329e-06,54.03638,1.156074e-06,54.04032,1.0402626045032568
55.0,1.194891e-06,55.05433,1.231233e-06,55.05373,1.0304144896898546
56.0,1.228264e-06,56.05005,1.192666e-06,56.05075,0.9710176313886916
57.0,1.211454e-06,57.04574,1.163492e-06,57.04438,0.9604095574408933
58.0,1.16918e-06,58.04223,1.188462e-06,58.04541,1.0164919003061974
59.0,1.215162e-06,59.04238,1.266833e-06,59.04431,1.0425219024294703
60.0,1.310837e-06,60.03957,1.317017e-06,60.03841,1.0047145449815653
61.0,1.309352e-06,61.05226,1.261143e-06,61.0569,0.9631810238957896
62.0,1.285376e-06,62.05114,1.253477e-06,62.0491,0.9751831370742879
63.0,1.273756e-06,63.04857,1.312568e-06,63.04547,1.030470513975989
