V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,3.956986e-07,1.012842,3.914136e-07,1.01448,0.9891710508958081
2.0,4.280037e-07,2.012925,4.222347e-07,2.011106,0.9865211445601989
3.0,4.525613e-07,3.00791,4.471223e-07,3.010093,0.9879817386064607
4.0,4.72506e-07,4.006006,4.703645e-07,4.006564,0.9954677824196941
5.0,4.91954e-07,5.004625,4.904708e-07,5.002808,0.9969850839712655
6.0,5.089306e-07,6.019432,5.081068e-07,6.016891,0.9983813117151924
7.0,5.265675e-07,7.014077,5.23435e-07,7.012971,0.9940510950637856
8.0,5.405766e-07,8.012511,5.381037e-07,8.011229,0.9954254401688862
9.0,5.582128e-07,9.012238,5.560697e-07,9.01241,0.9961607831278683
10.0,5.720592e-07,10.00708,5.713975e-07,10.00703,0.9988433015324287
11.0,5.878801e-07,11.02239,5.852431e-07,11.02149,0.9955143914549922
12.0,6.043621e-07,12.01938,6.018892e-07,12.019,0.9959082477210268
13.0,6.704541e-07,13.01598,6.547971e-07,13.01582,0.9766471709249
14.0,6.869376e-07,14.01446,6.719387e-07,14.01409,0.9781655568133117
15.0,7.004526e-07,15.01199,6.844664e-07,15.01112,0.9771773279162643
16.0,7.118244e-07,16.01042,6.984749e-07,16.01008,0.9812460769819072
17.0,7.236932e-07,17.0249,7.144615e-07,17.02376,0.9872436275482485
18.0,7.360546e-07,18.02444,7.255048e-07,18.02621,0.9856670958920711
19.0,7.502275e-07,19.01992,7.368774e-07,19.01812,0.9822052644031309
20.0,7.627548e-07,20.01676,7.528668e-07,20.01843,0.9870364630940376
21.0,7.728066e-07,21.01295,7.676996e-07,21.0163,0.9933916195850294
22.0,7.876427e-07,22.03019,7.817099e-07,22.03004,0.9924676506238171
23.0,8.008288e-07,23.02792,7.976968e-07,23.02846,0.9960890517423949
24.0,8.135208e-07,24.02694,8.123662e-07,24.02582,0.9985807369645621
25.0,8.219261e-07,25.019,8.258821e-07,25.01993,1.0048130847773296
26.0,8.380773e-07,26.01887,8.41044e-07,26.0174,1.0035398882656767
27.0,8.51099e-07,27.01716,8.567035e-07,27.02009,1.0065850153742397
28.0,8.689003e-07,28.03489,8.720312e-07,28.03415,1.0036032902739245
29.0,8.810962e-07,29.02876,8.875251e-07,29.03007,1.0072964790904784
30.0,8.952697e-07,30.02517,9.010395e-07,30.02649,1.0064447618410406
31.0,9.097759e-07,31.02551,9.199945e-07,31.02641,1.0112319968027292
32.0,9.249397e-07,32.02251,9.364769e-07,32.02214,1.0124734617835087
33.0,9.394457e-07,33.03775,9.518068e-07,33.03609,1.0131578653242013
34.0,9.567513e-07,34.03363,9.681221e-07,34.03246,1.011884802246937
35.0,9.689435e-07,35.02935,9.857603e-07,35.029,1.0173558107361265
36.0,9.86089e-07,36.02996,1.001912e-06,36.02833,1.0160462189518389
37.0,1.004219e-06,37.02856,1.020209e-06,37.02614,1.0159228216156038
38.0,1.01905e-06,38.02163,1.037512e-06,38.02461,1.0181168735587065
39.0,1.03619e-06,39.03693,1.054488e-06,39.03905,1.0176589235564903
