V_cmd,I_meas_1,V_meas_1,I_meas_2,V_meas_2,ratio_I2_I1
1.0,4.036098e-07,1.013751,4.04599e-07,1.012297,1.0024508820152533
2.0,4.369042e-07,2.010563,4.365739e-07,2.00874,0.9992439990277046
3.0,4.616261e-07,3.006272,4.626162e-07,3.0081,1.0021448094031078
4.0,4.848673e-07,4.005457,4.835484e-07,4.005636,0.9972798743078778
5.0,5.039859e-07,5.001169,4.998637e-07,5.000785,0.9918208029232565
6.0,5.247527e-07,6.015059,5.193164e-07,6.01819,0.989640262927661
7.0,5.385992e-07,7.014073,5.38928e-07,7.014242,1.0006104724997735
8.0,5.547512e-07,8.011785,5.51784e-07,8.01123,0.9946512959323027
9.0,5.689249e-07,9.009668,5.692548e-07,9.009855,1.0005798656378022
10.0,5.85244e-07,10.00724,5.842551e-07,10.00579,0.9983102774227502
11.0,6.030436e-07,11.02221,5.99088e-07,11.02185,0.9934406069478228
12.0,6.177115e-07,12.0179,6.163937e-07,12.01883,0.9978666416280091
13.0,6.971554e-07,13.01744,6.933657e-07,13.01747,0.994564052720527
14.0,7.136385e-07,14.01518,7.101769e-07,14.01627,0.9951493648394809
15.0,7.268235e-07,15.00998,7.236932e-07,15.01528,0.9956931772294099
16.0,7.424816e-07,16.00952,7.396802e-07,16.00953,0.9962269772072465
17.0,7.558322e-07,17.02542,7.518766e-07,17.02488,0.994766563266291
18.0,7.688532e-07,18.02423,7.672051e-07,18.02551,0.9978564178441346
19.0,7.822052e-07,19.02145,7.802263e-07,19.02178,0.9974701011959521
20.0,7.973679e-07,20.01878,7.939072e-07,20.01734,0.9956598453486778
21.0,8.110469e-07,21.01574,8.07092e-07,21.01503,0.995123709861908
22.0,8.219235e-07,22.02686,8.202775e-07,22.02911,0.9979973805348065
23.0,8.398945e-07,23.02893,8.356062e-07,23.03065,0.9948942396931997
24.0,8.515933e-07,24.02454,8.474756e-07,24.02663,0.995164710666465
25.0,8.636248e-07,25.02115,8.600014e-07,25.02124,0.9958044280340258
